,Company,Correlation
0,"['ABBV', 'AAPL']",0.15
1,"['ABT', 'AAPL']",0.15
2,"['ABT', 'ABBV']",0.85
3,"['ACN', 'AAPL']",0.3
4,"['ACN', 'ABBV']",0.15
5,"['ACN', 'ABT']",0.15
6,"['ADBE', 'AAPL']",0.45
7,"['ADBE', 'ABBV']",0.1
8,"['ADBE', 'ABT']",0.15
9,"['ADBE', 'ACN']",0.3
10,"['ADP', 'AAPL']",0.15
11,"['ADP', 'ABBV']",0.15
12,"['ADP', 'ABT']",0.1
13,"['ADP', 'ACN']",0.3
14,"['ADP', 'ADBE']",0.3
15,"['AEP', 'AAPL']",0.15
16,"['AEP', 'ABBV']",0.1
17,"['AEP', 'ABT']",0.1
18,"['AEP', 'ACN']",0.15
19,"['AEP', 'ADBE']",0.15
20,"['AEP', 'ADP']",0.15
21,"['AMT', 'AAPL']",0.15
22,"['AMT', 'ABBV']",0.1
23,"['AMT', 'ABT']",0.1
24,"['AMT', 'ACN']",0.3
25,"['AMT', 'ADBE']",0.3
26,"['AMT', 'ADP']",0.15
27,"['AMT', 'AEP']",0.1
28,"['AMZN', 'AAPL']",0.55
29,"['AMZN', 'ABBV']",-0.15
30,"['AMZN', 'ABT']",0.1
31,"['AMZN', 'ACN']",0.3
32,"['AMZN', 'ADBE']",0.3
33,"['AMZN', 'ADP']",0.1
34,"['AMZN', 'AEP']",0.1
35,"['AMZN', 'AMT']",0.1
36,"['APD', 'AAPL']",0.15
37,"['APD', 'ABBV']",0.15
38,"['APD', 'ABT']",0.15
39,"['APD', 'ACN']",0.15
40,"['APD', 'ADBE']",0.15
41,"['APD', 'ADP']",0.15
42,"['APD', 'AEP']",0.15
43,"['APD', 'AMT']",0.1
44,"['APD', 'AMZN']",0.15
45,"['ASML', 'AAPL']",0.3
46,"['ASML', 'ABBV']",0.1
47,"['ASML', 'ABT']",0.1
48,"['ASML', 'ACN']",0.15
49,"['ASML', 'ADBE']",0.3
50,"['ASML', 'ADP']",0.1
51,"['ASML', 'AEP']",0.1
52,"['ASML', 'AMT']",0.1
53,"['ASML', 'AMZN']",0.3
54,"['ASML', 'APD']",0.15
55,"['AVGO', 'AAPL']",0.45
56,"['AVGO', 'ABBV']",0.15
57,"['AVGO', 'ABT']",0.1
58,"['AVGO', 'ACN']",0.15
59,"['AVGO', 'ADBE']",0.3
60,"['AVGO', 'ADP']",0.15
61,"['AVGO', 'AEP']",0.1
62,"['AVGO', 'AMT']",0.15
63,"['AVGO', 'AMZN']",0.3
64,"['AVGO', 'APD']",0.15
65,"['AVGO', 'ASML']",0.65
66,"['AWK', 'AAPL']",0.1
67,"['AWK', 'ABBV']",0.1
68,"['AWK', 'ABT']",0.1
69,"['AWK', 'ACN']",0.1
70,"['AWK', 'ADBE']",0.1
71,"['AWK', 'ADP']",0.1
